name,latitude,longitude,free_bikes
Hess at king,43.259125842121065,-79.87721174955368,5
Bayfront Park,43.26928827622911,-79.87132698297499,5
Bay at Strachan,43.26785864558976,-79.8679232597351,5
Bay at Mulberry,43.26319844157448,-79.87180307507515,2
City Hall,43.2561324863605,-79.8744987564414,6
Bay at Bold,43.2538302267771,-79.8753935613187,9
James S at Charlton,43.2496354495324,-79.8720555723035,2
Oxford at York,43.26456372689135,-79.8777937889099,12
Queen at Peter,43.2618861338306,-79.877606006297,4
West at Cannon,43.257877862291,-79.8561337635964,4
Forsyth at Sterling,43.26271404114188,-79.91580605506897,5
Gage at Cannon - ERI11,43.25112644429895,-79.82740849256516,6
H.A.A.A. Park,43.2540651616154,-79.8819466027797,8
Hunter at Hess,43.255383107655966,-79.87889617681503,7
Dunsmure at Sherman - ERI10,43.24943274108067,-79.8388883471489,3
King at Dunsmure - ERI09,43.24634382646498,-79.82685998082161,4
Locke at Napier,43.2628018805713,-79.8827367298478,6
York at Inchbury,43.2659146108256,-79.8819495909127,4
Aberdeen at Queen,43.2488085584277,-79.8836993988543,6
King at Dundurn,43.26240933566922,-79.88798081874847,2
Main at Dundurn,43.25966301112219,-79.8892092704773,2
Dundurn St S,43.2548127612063,-79.8909067737901,3
McMaster Mary Keyes,43.26246012002058,-79.92224670946598,2
McMaster Health Sciences,43.26053126154136,-79.91824820637703,6
McMaster Arthur Bourns,43.2599690032886,-79.922358671032,2
McMaster Emerson,43.258038792898375,-79.91978779435158,8
Longwood at Edgevale,43.2662112220324,-79.8993094512,13
Longwood at King,43.2630174571678,-79.9009418422827,5
Chedoke Stairs,43.2460802627748,-79.90823779724,7
McMaster Innovation Park,43.25656885270854,-79.9011692404747,8
Macklin at King,43.2621672804245,-79.8964982026467,4
Dundurn at Aberdeen,43.251458458949,-79.89265590906143,11
Dundurn Stairs,43.2465214141618,-79.8947787566411,10
Cootes Drive Dundas,43.26547419149645,-79.94765996932983,3
Princess Point,43.2729912871819,-79.8945270389426,6
Pearl Street Bridge,43.25650634283747,-79.88345324993132,3
Rail Trail at Emerson,43.2546745875963,-79.9208028150996,10
Westdale Library,43.2627159943772,-79.90359663963316,4
Emerson at Whitney,43.2521423210113,-79.9222158171462,12
Sterling at Whitton,43.2622271626907,-79.9133658840373,5
Sterling at Haddon,43.26202552179778,-79.91026729345322,3
Sanders at Hollywood,43.2599031676959,-79.9264810904732,1
King at Cline,43.2605367847852,-79.9092948353051,9
Rail Trail at Stroud,43.2535916384655,-79.9166152756283,11
Main at Columbia College,43.2585671813327,-79.90785866975784,9
King Street Dundas,43.26595632543361,-79.95375394821166,1
Park at Robinson,43.2515957745917,-79.8749090863127,4
Main at Dalewood,43.25802547698811,-79.91383865476678,7
John at Main,43.254529435061336,-79.86718028783798,3
Stadium,43.25161474646046,-79.83134329318999,6
